측정,측정망,측정소명,측정날짜,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
미세먼지(PM10),교외대기,[강원 고성군]간성읍,2022년10월,36,24,9,9,8,9,10,16,14,16,15,18,16,16,15,17,38,24,21,32,36,36,19,15,15,14,26,18,13,14,18
미세먼지(PM10),교외대기,[강원 고성군]고성(DMZ),2022년10월,15,20,5,5,4,3,4,8,7,9,11,15,11,16,11,11,36,20,19,30,25,30,16,10,11,10,22,13,10,8,13
미세먼지(PM10),교외대기,[강원 양구군]방산면,2022년10월,15,13,6,4,5,6,6,8,9,10,13,13,11,11,10,12,19,18,16,19,23,30,17,14,12,12,22,18,12,10,14
미세먼지(PM10),교외대기,[강원 인제군]인제(DMZ),2022년10월,17,16,2,3,3,2,4,9,9,8,14,19,16,17,13,16,42,28,34,,31,37,18,15,12,13,23,9,11,12,16
미세먼지(PM10),교외대기,[강원 정선군]북평면,2022년10월,16,15,13,5,6,6,6,9,9,9,9,14,12,12,17,21,30,19,18,23,36,37,24,12,7,10,23,23,19,16,15
미세먼지(PM10),교외대기,[강원 철원군]철원(DMZ),2022년10월,29,24,6,13,6,7,11,17,11,11,18,27,19,18,19,25,32,22,40,40,29,29,30,24,19,26,35,22,24,22,23
미세먼지(PM10),교외대기,[강원 화천군]화천(DMZ),2022년10월,25,18,7,8,8,7,8,10,11,11,18,18,17,15,15,18,43,28,28,43,34,37,32,20,14,15,33,16,16,16,
미세먼지(PM10),교외대기,[강원 횡성군]치악산,2022년10월,28,26,22,14,,,6,8,8,9,12,13,12,13,16,20,27,23,21,27,32,44,35,13,9,12,22,21,19,21,14
미세먼지(PM10),도시대기,[강원 강릉시]옥천동,2022년10월,19,24,17,11,11,13,13,16,15,16,15,21,20,21,19,22,33,24,23,26,32,31,24,13,16,18,28,25,23,21,21
미세먼지(PM10),도시대기,[강원 강릉시]주문진읍,2022년10월,22,23,13,13,12,8,14,17,15,19,16,21,23,22,,32,41,31,28,28,32,38,30,19,23,23,34,24,20,18,21
미세먼지(PM10),도시대기,[강원 고성군]상리,2022년10월,29,24,9,6,9,5,5,7,7,7,8,14,15,15,12,12,23,13,12,21,25,24,13,6,9,10,19,12,9,8,14
미세먼지(PM10),도시대기,[강원 동해시]천곡동,2022년10월,17,26,16,14,8,9,9,13,19,17,11,19,18,16,13,15,28,20,19,21,23,23,20,8,12,18,25,18,16,15,20
미세먼지(PM10),도시대기,[강원 삼척시]남양동1,2022년10월,10,13,15,10,6,7,8,10,9,8,9,11,10,9,10,12,24,16,14,13,17,16,17,7,10,10,17,18,13,10,13
미세먼지(PM10),도시대기,[강원 속초시]금호동,2022년10월,14,27,12,12,6,4,8,12,10,7,6,13,15,14,13,15,32,19,16,19,21,21,17,6,11,11,28,15,11,9,13
미세먼지(PM10),도시대기,[강원 양구군]양구읍,2022년10월,15,14,5,4,3,5,5,7,9,5,10,12,11,11,12,13,18,16,14,19,22,26,15,11,12,11,18,18,14,11,14
미세먼지(PM10),도시대기,[강원 양양군]양양읍,2022년10월,14,22,7,4,4,4,4,8,7,10,8,13,10,11,10,10,25,17,14,21,21,21,13,6,8,8,21,15,12,10,13
미세먼지(PM10),도시대기,[강원 영월군]영월읍,2022년10월,24,18,17,9,7,7,7,8,10,9,14,19,20,19,24,21,34,23,24,26,39,51,30,17,12,15,24,22,19,16,17
미세먼지(PM10),도시대기,[강원 원주시]문막읍,2022년10월,29,25,20,11,7,8,6,9,10,9,14,17,15,18,19,26,32,22,22,28,40,47,37,15,10,16,28,33,25,24,22
미세먼지(PM10),도시대기,[강원 원주시]반곡동(명륜동),2022년10월,34,28,17,6,7,10,6,10,9,8,16,22,23,25,26,29,35,25,27,36,54,59,47,16,15,22,38,42,28,25,25
미세먼지(PM10),도시대기,[강원 원주시]중앙동(강원),2022년10월,33,29,19,6,10,11,9,10,11,10,12,18,18,20,23,26,40,21,27,31,48,59,50,12,9,14,29,37,24,19,21
